[DIPPR Text]
1094CASN  	108-29-2
1095CASN  	565-69-5
1096CASN  	814-78-8
1097CASN  	90-42-6
1098CASN  	106-51-4
1099CASN  	674-82-8
1100CASN  	463-51-4
1101CASN  	67-56-1
1102CASN  	64-17-5
1103CASN  	71-23-8
1104CASN  	67-63-0
1105CASN  	71-36-3
1106CASN  	78-83-1
1107CASN  	78-92-2
1108CASN  	75-65-0
1109CASN  	71-41-0
1110CASN  	6032-29-7
1111CASN  	75-85-4
1112CASN  	137-32-6
1113CASN  	75-84-3
1114CASN  	111-27-3
1115CASN  	626-93-7
1117CASN  	105-30-6
1118CASN  	589-35-5
1119CASN  	77-74-7
1120CASN  	584-02-1
1121CASN  	104-76-7
1122CASN  	624-22-6
1123CASN  	123-51-3
1124CASN  	598-75-4
1125CASN  	111-70-6
1126CASN  	543-49-7
1129CASN  	627-98-5
1130CASN  	108-11-2
1132CASN  	111-87-5
1133CASN  	123-96-6
1134CASN  	143-08-8
1135CASN  	628-99-9
1136CASN  	112-30-1
1137CASN  	112-42-5
1139CASN  	55505-26-5
1140CASN  	112-53-8
1141CASN  	112-70-9
1142CASN  	112-72-1
1143CASN  	629-76-5
1144CASN  	36653-82-4
1145CASN  	1454-85-9
1146CASN  	112-92-5
1147CASN  	97-95-0
1148CASN  	629-96-9
1149CASN  	1454-84-8
1151CASN  	108-93-0
1152CASN  	590-67-0
1153CASN  	7443-70-1
1154CASN  	7443-52-9
1155CASN  	5454-79-5
1156CASN  	7443-55-2
1157CASN  	7731-28-4
1158CASN  	7731-29-5
1159CASN  	2216-51-5
1160CASN  	83-46-5
1161CASN  	1857-24-5
1162CASN  	98-55-5
1163CASN  	138-87-4
1164CASN  	51655-57-3
1165CASN  	10522-26-6
1166CASN  	97-99-4
1167CASN  	107-18-6
1168CASN  	617-94-7
1169CASN  	735273
1170CASN  	526-75-0
1172CASN  	105-67-9
1174CASN  	95-87-4
1176CASN  	576-26-1
1177CASN  	95-65-8
1178CASN  	108-68-9
1179CASN  	107-19-7
1180CASN  	100-51-6
1181CASN  	108-95-2
1182CASN  	95-48-7
1183CASN  	108-39-4
1184CASN  	106-44-5
1185CASN  	90-00-6
1186CASN  	123-31-9
1187CASN  	123-07-9
1197CASN  	98-54-4
1198CASN  	80-05-7
1199CASN  	25154-52-3
1201CASN  	107-21-1
1202CASN  	111-46-6
1203CASN  	112-27-6
1204CASN  	112-60-7
1211CASN  	57-55-6
1212CASN  	504-63-2
1213CASN  	25265-71-8
1214CASN  	126-30-7
1215CASN  	110-65-6
1216CASN  	24800-44-0
1219CASN  	2163-42-0
1220CASN  	584-03-2
1221CASN  	107-88-0
1222CASN  	107-41-5
1231CASN  	56-81-5
1232CASN  	4435-50-1
1233CASN  	3068-00-6
1235CASN  	98-29-3
1236CASN  	144-19-4
1237CASN  	149-31-5
