[DIPPR Text]
   2FACU  1 2 0 0 0 0 0 0 0 0 0 0 
1401FACU  1 1 25 1 0 0 0 0 0 0 0 0 
1102FACU  1 1 2 1 15 1 0 0 0 0 0 0 
1201FACU  2 2 15 2 0 0 0 0 0 0 0 0 
1820FACU  1 1 102 1 0 0 0 0 0 0 0 0 
1802FACU  0 0 0 0 0 0 0 0 0 0 0 0 
1704FACU  1 1 30 1 0 0 0 0 0 0 0 0 
1774FACU  69 1 0 0 0 0 0 0 0 0 0 0 
 402FACU  1 1 66 1 0 0 0 0 0 0 0 0 
 301FACU  2 1 7 1 0 0 0 0 0 0 0 0 
 202FACU  1 1 5 1 3 1 0 0 0 0 0 0 
1051FACU  1 1 19 1 0 0 0 0 0 0 0 0 
1302FACU  1 1 2 1 24 1 0 0 0 0 0 0 
1312FACU  1 1 22 1 0 0 0 0 0 0 0 0 
1253FACU  1 1 2 1 43 1 0 0 0 0 0 0 
1876FACU  72 1 0 0 0 0 0 0 0 0 0 0 
   3FACU  1 2 2 1 0 0 0 0 0 0 0 0 
1104FACU  1 2 3 1 15 1 0 0 0 0 0 0 
1103FACU  1 1 2 2 15 1 0 0 0 0 0 0 
1703FACU  1 2 35 1 0 0 0 0 0 0 0 0 
 418FACU  5 1 66 1 8 1 0 0 0 0 0 0 
1821FACU  106 1 0 0 0 0 0 0 0 0 0 0 
1775FACU  0 0 0 0 0 0 0 0 0 0 0 0 
 404FACU  1 2 67 1 0 0 0 0 0 0 0 0 
 403FACU  1 1 2 1 66 1 0 0 0 0 0 0 
 302FACU  1 1 4 1 5 1 0 0 0 0 0 0 
 303FACU  5 2 0 0 0 0 0 0 0 0 0 0 
 204FACU  1 1 2 1 5 1 0 0 0 0 0 0 
 205FACU  1 2 6 1 0 0 0 0 0 0 0 0 
 206FACU  1 2 6 1 0 0 0 0 0 0 0 0 
 207FACU  1 2 7 1 0 0 0 0 0 0 0 0 
1006FACU  1 2 3 1 21 1 0 0 0 0 0 0 
1052FACU  1 1 2 1 19 1 0 0 0 0 0 0 
1479FACU  2 3 28 1 0 0 0 0 0 0 0 0 
1421FACU  2 2 26 2 0 0 0 0 0 0 0 0 
1256FACU  1 1 2 2 43 1 0 0 0 0 0 0 
1313FACU  1 2 23 1 0 0 0 0 0 0 0 0 
1322FACU  1 1 2 1 22 1 0 0 0 0 0 0 
1303FACU  1 1 2 2 24 1 0 0 0 0 0 0 
1845FACU  0 0 0 0 0 0 0 0 0 0 0 0 
2856FACU  0 0 0 0 0 0 0 0 0 0 0 0 
   5FACU  1 2 2 2 0 0 0 0 0 0 0 0 
   4FACU  1 3 3 1 0 0 0 0 0 0 0 0 
1105FACU  1 1 2 3 15 1 0 0 0 0 0 0 
1106FACU  1 2 2 1 3 1 15 1 0 0 0 0 
1107FACU  1 2 2 1 3 1 15 1 0 0 0 0 
1108FACU  1 3 4 1 15 1 0 0 0 0 0 0 
1402FACU  1 2 2 1 26 1 0 0 0 0 0 0 
1202FACU  2 3 15 2 26 1 0 0 0 0 0 0 
1710FACU  1 2 2 1 33 1 0 0 0 0 0 0 
1889FACU  62 1 0 0 0 0 0 0 0 0 0 0 
1791FACU  38 1 0 0 0 0 0 0 0 0 0 0 
