Name	Name1	CASRN	Formula	Charge	MW
hexaamminecobalt(III)	cobalt (3+), hexaammine-	14695-95-5	Co(NH3)6+3	3	161.12
zirconium	zirconium ion (Zr 4+)	15543-40-5	Zr+4	4	91.22
tin(IV)	tin ion (Sn 4+)	22537-50-4	Sn+4	4	118.71
cerium(IV)	cerium ion (Ce 4+)	16065-90-0	Ce+4	4	140.12
hafnium	hafnium ion (Hf 4+)	22541-25-9	Hf+4	4	178.49
thorium	thorium ion (Th 4+)	16065-92-2	Th+4	4	232.04
protactinium(IV)	protactinium ion (Pa 4+)	22537-59-3	Pa+4	4	231
uranium(IV)	uranium ion (U 4+)	16089-60-4	U+4	4	238.03
neptunium(IV)	neptunium ion (Np 4+)	22578-82-1	Np+4	4	237
plutonium(VI)	plutonium ion (Pu 4+)	22541-44-2	Pu+4	4	239
