hexachloroplatinate(IV)	platinate (2-), hexachloro-	16871-54-8	PtCl6-2	-2	407.81
hexabromoplatinateIV)	platinate (2-), hexabromo-	16871-55-9	PtBr6-2	-2	674.51
tetracyanonickelate	nickelate (2-), tetrakis(cyano-C)	48042-08-6	Ni(CN)4-2	-2	162.76
tetracyanomercurate	mercurate (2-), tetrakis(cyano-C)	19426-03-0	Hg(CN)4-2	-2	304.66
nitride	nitride	18851-77-9	N-3	-3	14.01
borate	borate (BO3 3-)	14213-97-9	BO3-3	-3	58.81
arsenite	arsenite	15502-74-6	AsO3-3	-3	122.92
phosphate	phosphate (PO4 3-)	14265-44-2	PO4-3	-3	94.97
vanadate	vanadate (VO4 3-)	14333-18-7	VO4-3	-3	114.94
arsenate	arsenate (AsO4 3-)	15584-04-0	AsO4-3	-3	138.92
antimonate	antimonate (SbO4 3-)	20175-28-4	SbO4-3	-3	185.75
bismuthate	bismuthate (BiO4 3-)	113152-92-4	BiO4-3	-3	272.96
hexafluoroaluminate	aluminate (3-), hexafluoro-	21340-03-4	AlF6-3	-3	140.97
hexacyanoferrate(III)	ferrate (3-), hexakis(cyano-C)	13408-62-3	Fe(CN)6-3	-3	211.95
hexacyanocobaltate(III)	cobaltate (3-), hexakis(cyano-C)	14897-04-2	Co(CN)6-3	-3	216.11
hexachlororhodate(III)	rhodate (3-), hexachloro-	21412-00-0	RhCl6-3	-3	315.62
hexachloroiridate(III)	iridate (3-), hexachloro-	14648-50-1	IrCl6-3	-3	404.94
orthosilicate	silicate (SiO4 4-)	17181-37-2	SiO4-4	-4	92.08
hexacyanoferrate(II)	ferrate (2-), hexakis(cyano-C)	13408-63-4	Fe(CN)6-4	-4	211.95
diphosphate	diphosphate	14000-31-8	P2O7-4	-4	173.94
octacyanomolybdate(IV)	molybdate (4-), oktakis(cyano-C)	17923-49-8	Mo(CN)8-4	-4	304.08
